direction,scheduled_arr,actual_arr,first_seen,delay_min,run_number,error_min
Howard,2024-06-20 10:56:01,2024-06-20 10:56:09,2024-06-20 10:41:02.210852,1.0125616333333334,502,0.13333333333333333
Linden,2024-06-20 14:11:41,2024-06-20 14:21:23,2024-06-20 14:10:45.715749,4.2481960333333335,512,9.7
Linden,2024-06-20 20:30:41,2024-06-20 20:34:27,2024-06-20 20:03:45.306426,2.0479673666666667,520,3.7666666666666666
Howard,2024-06-21 07:35:01,2024-06-21 07:37:19,2024-06-21 07:34:04.437677,0.43447056666666667,512,2.3
Howard,2024-06-21 10:32:40,2024-06-21 10:40:48,2024-06-21 10:10:46.593236,6.487682066666666,515,8.133333333333333
Linden,2024-06-21 11:48:21,2024-06-21 11:52:07,2024-06-21 11:25:36.262151,1.7167026166666666,510,3.7666666666666666
Linden,2024-06-21 12:47:01,2024-06-21 12:54:27,2024-06-21 12:21:04.589953,3.987485,501,7.433333333333334
Linden,2024-06-21 14:47:21,2024-06-21 14:51:22,2024-06-21 14:21:28.973241,1.9087029000000002,515,4.016666666666667
Linden,2024-06-21 15:23:21,2024-06-21 15:25:57,2024-06-21 14:59:23.249565,2.2705446,509,2.6
Howard,2024-06-21 15:44:21,2024-06-21 15:52:31,2024-06-21 15:15:26.644801,6.486900983333333,520,8.166666666666666
Linden,2024-06-21 23:31:21,2024-06-21 23:38:02,2024-06-21 23:23:23.810496,5.7002384,519,6.683333333333334
Linden,2024-06-22 12:47:21,2024-06-22 12:53:14,2024-06-22 12:28:39.918150,3.0338578166666665,501,5.883333333333334
Linden,2024-06-22 17:47:01,2024-06-22 17:49:52,2024-06-22 17:25:03.877546,2.9895779499999997,508,2.85
Howard,2024-06-22 17:49:01,2024-06-22 17:50:14,2024-06-22 17:25:03.877546,0.9895779499999999,510,1.2166666666666666
Howard,2024-06-29 06:04:21,2024-06-29 06:04:21,2024-06-29 05:48:22.580092,1.4088062833333335,503,0.0
Linden,2024-06-29 06:16:41,2024-06-29 06:22:04,2024-06-29 06:05:45.528377,3.751110066666667,502,5.383333333333334
Linden,2024-06-29 06:31:41,2024-06-29 06:33:19,2024-06-29 06:05:45.528377,1.2450766833333333,503,1.6333333333333333
Howard,2024-07-04 18:48:40,2024-07-04 18:55:49,2024-07-04 18:16:44.152075,6.106586666666667,509,7.15
Linden,2024-07-05 12:35:21,2024-07-05 12:38:55,2024-07-05 12:16:38.047350,1.8747266166666667,516,3.566666666666667
Linden,2024-07-05 14:59:20,2024-07-05 15:02:03,2024-07-05 14:46:28.968817,2.4331055000000004,507,2.716666666666667
Howard,2024-07-06 08:48:40,2024-07-06 08:51:24,2024-07-06 08:39:43.441508,1.7211742666666665,502,2.7333333333333334
Linden,2024-07-06 09:16:40,2024-07-06 09:20:44,2024-07-06 08:39:43.441508,3.43238215,506,4.066666666666666
Howard,2024-07-14 16:33:41,2024-07-14 16:37:49,2024-07-14 16:22:56.460406,4.327730666666667,504,4.133333333333334
Howard,2024-07-15 09:21:21,2024-07-15 09:22:01,2024-07-15 08:53:35.726286,0.21968795,510,0.6666666666666666
Linden,2024-07-15 12:35:41,2024-07-15 12:45:09,2024-07-15 12:16:57.075316,2.0904788666666665,516,9.466666666666667
Linden,2024-07-15 13:36:21,2024-07-15 13:40:05,2024-07-15 13:23:29.988292,2.1365315166666665,504,3.7333333333333334
Howard,2024-07-16 05:24:01,2024-07-16 05:26:52,2024-07-16 04:56:19.443057,1.6552040666666668,503,2.85
Linden,2024-07-16 05:51:41,2024-07-16 05:56:39,2024-07-16 05:30:42.879570,0.56230645,506,4.966666666666667
Linden,2024-07-16 06:19:41,2024-07-16 06:23:31,2024-07-16 05:41:48.107295,0.05728096666666667,508,3.8333333333333335
Howard,2024-07-17 16:45:41,2024-07-17 16:46:51,2024-07-17 16:31:42.249091,0.49759315,512,1.1666666666666667
Linden,2024-07-18 12:48:01,2024-07-18 12:53:56,2024-07-18 12:27:07.508115,1.0165866666666665,501,5.916666666666667
Howard,2024-07-19 09:45:01,2024-07-19 09:50:01,2024-07-19 09:23:05.516083,3.8990953333333334,503,5.0
Howard,2024-07-19 10:08:40,2024-07-19 10:16:27,2024-07-19 09:48:54.945720,7.312716933333333,514,7.783333333333333
Linden,2024-07-20 00:19:21,2024-07-20 00:22:48,2024-07-20 00:11:35.679549,3.2536138166666664,519,3.45
Linden,2024-07-20 10:02:21,2024-07-20 10:10:19,2024-07-20 09:37:35.447979,6.113103183333333,506,7.966666666666667
Howard,2024-07-23 10:21:21,2024-07-23 10:26:57,2024-07-23 09:58:23.777815,3.1543318166666667,506,5.6
Linden,2024-07-23 11:35:41,2024-07-23 11:42:21,2024-07-23 11:07:52.939862,0.5874865166666667,503,6.666666666666667
Linden,2024-07-23 11:59:01,2024-07-23 12:02:09,2024-07-23 11:36:16.249191,3.73591495,501,3.1333333333333333
Howard,2024-07-23 11:56:40,2024-07-23 12:03:21,2024-07-23 11:43:47.316780,6.08591495,503,6.683333333333334
Linden,2024-07-23 14:11:41,2024-07-23 14:14:38,2024-07-23 13:52:58.978984,2.6313063666666663,512,2.95
Linden,2024-07-25 11:23:21,2024-07-25 11:27:36,2024-07-25 11:14:36.342280,2.6455359,502,4.25
Linden,2024-07-25 13:47:41,2024-07-25 13:53:13,2024-07-25 13:29:48.152671,0.5760553500000001,506,5.533333333333333
Linden,2024-07-25 14:23:21,2024-07-25 14:32:16,2024-07-25 14:06:37.559234,2.1579683,504,8.916666666666666
Howard,2024-07-26 10:32:41,2024-07-26 10:34:09,2024-07-26 10:15:51.795036,1.3005634666666666,515,1.4666666666666666
Linden,2024-07-26 12:00:21,2024-07-26 12:08:34,2024-07-26 11:53:33.418007,0.8261183,501,8.216666666666667
Linden,2024-07-27 06:16:22,2024-07-27 06:18:37,2024-07-27 06:02:38.477225,0.6590238166666667,502,2.25
Linden,2024-07-28 08:31:01,2024-07-28 08:33:33,2024-07-28 08:15:06.432541,1.3869662333333332,504,2.533333333333333
Linden,2024-08-04 11:46:41,2024-08-04 11:48:31,2024-08-04 11:27:42.696668,0.09254923333333333,501,1.8333333333333333
Linden,2024-08-07 21:00:41,2024-08-07 21:08:22,2024-08-07 20:45:43.287367,5.1947012,519,7.683333333333334
Linden,2024-08-10 20:46:01,2024-08-10 20:51:31,2024-08-10 20:33:13.869117,1.8226426333333334,507,5.5
Linden,2024-08-11 14:31:01,2024-08-11 14:36:10,2024-08-11 14:13:07.397033,1.1458166666666665,506,5.15
Linden,2024-08-11 18:01:01,2024-08-11 18:05:25,2024-08-11 17:48:08.762995,2.6243299666666666,507,4.4
Howard,2024-08-12 10:57:01,2024-08-12 11:01:13,2024-08-12 10:41:08.273767,3.4482221833333333,508,4.2
Howard,2024-08-12 16:23:41,2024-08-12 16:25:32,2024-08-12 16:10:53.760686,1.3517082,518,1.85
Linden,2024-08-13 20:30:01,2024-08-13 20:35:16,2024-08-13 20:11:21.062154,4.500759466666667,520,5.25
Linden,2024-08-15 01:19:21,2024-08-15 01:27:27,2024-08-15 01:10:40.648226,6.467614433333334,520,8.1
Howard,2024-08-16 18:41:21,2024-08-16 18:49:55,2024-08-16 18:19:39.058535,8.30488615,511,8.566666666666666
Howard,2024-08-17 10:04:21,2024-08-17 10:07:48,2024-08-17 09:54:40.380278,2.887700166666667,504,3.45
Linden,2024-08-17 10:02:21,2024-08-17 10:11:17,2024-08-17 09:37:35.141622,4.887700166666666,506,8.933333333333334
Howard,2024-08-17 17:48:41,2024-08-17 17:51:53,2024-08-17 17:43:48.674236,2.8269157333333337,510,3.2
Howard,2024-08-18 10:04:21,2024-08-18 10:06:36,2024-08-18 09:40:23.720349,1.7011697000000001,503,2.25
Howard,2024-08-19 10:33:21,2024-08-19 10:34:37,2024-08-19 10:09:22.449984,0.5781878500000001,515,1.2666666666666666
Howard,2024-08-19 10:44:40,2024-08-19 10:51:18,2024-08-19 10:33:55.691271,4.72996925,507,6.633333333333334
