direction,scheduled_arr,actual_arr,first_seen,delay_min,error_min
Howard,2025-04-01 06:33:03,2025-04-01 06:37:54.892025,2025-04-01 06:32:16.710434,4.864867083333333,4.864867083333333
Linden,2025-04-01 11:13:43,2025-04-01 11:19:52.494774,2025-04-01 11:03:48.689636,6.158246233333333,6.158246233333333
Linden,2025-04-01 12:13:03,2025-04-01 12:14:42.801784,2025-04-01 11:53:22.104531,1.6633630666666666,1.6633630666666666
Linden,2025-04-01 12:23:43,2025-04-01 12:27:10.574686,2025-04-01 12:04:49.152029,3.4595781000000003,3.4595781000000003
Howard,2025-04-01 13:15:04,2025-04-01 13:22:59.111016,2025-04-01 12:54:12.954712,7.918516933333334,7.918516933333334
Linden,2025-04-01 13:23:43,2025-04-01 13:28:43.595282,2025-04-01 13:03:50.481448,5.009921366666666,5.009921366666666
Linden,2025-04-01 14:13:23,2025-04-01 14:19:30.732267,2025-04-01 13:56:26.554529,6.128871116666667,6.128871116666667
Linden,2025-04-01 14:24:03,2025-04-01 14:26:15.934830,2025-04-01 14:16:16.656815,2.2155805,2.2155805
Linden,2025-04-01 14:33:23,2025-04-01 14:41:14.507148,2025-04-01 14:19:30.732267,7.858452466666666,7.858452466666666
Howard,2025-04-01 14:43:23,2025-04-01 14:50:29.780325,2025-04-01 14:19:30.732267,7.113005416666667,7.113005416666667
Linden,2025-04-01 14:44:04,2025-04-01 14:50:29.780325,2025-04-01 14:26:15.934830,6.429672083333333,6.429672083333333
Linden,2025-04-01 14:54:43,2025-04-01 14:56:38.992101,2025-04-01 14:30:01.126437,1.9332016833333334,1.9332016833333334
Linden,2025-04-01 15:04:23,2025-04-01 15:11:25.517791,2025-04-01 14:50:29.780325,7.041963183333333,7.041963183333333
Linden,2025-04-02 11:03:03,2025-04-02 11:06:26.312348,2025-04-02 10:46:22.077944,3.388539133333333,3.388539133333333
Linden,2025-04-05 18:03:43,2025-04-05 18:08:23.988073,2025-04-05 17:42:50.859517,4.68313455,4.68313455
